ID	Sex	DR	Vowel	Context
AKB0	M	3	iy	sh_iy_hv
AKB0	M	3	iy	r_iy_s
AKB0	M	3	iy	k_iy_pcl
AKB0	M	3	iy	f_iy_l
AKB0	M	3	iy	r_iy_h#
AKB0	M	3	iy	p_iy_s
AKB0	M	3	iy	s_iy_z
AKB0	M	3	iy	dx_iy_tcl
AKB0	M	3	iy	w_iy_v
AKB0	M	3	iy	p_iy_l
AKB0	M	3	iy	l_iy_eh
AKB0	M	3	ae	hv_ae_dcl
AKB0	M	3	ae	nx_ae_s
AKB0	M	3	ae	r_ae_gcl
AKB0	M	3	ae	dh_ae_q
AKB0	M	3	ae	k_ae_dx
AKB0	M	3	ae	q_ae_n
AKB0	M	3	ae	b_ae_kcl
AKB0	M	3	ae	v_ae_m
AKB0	M	3	ae	b_ae_f
AKB0	M	3	ae	l_ae_s
AKB0	M	3	ae	hh_ae_n
AKB0	M	3	ae	r_ae_f
AKB0	M	3	aa	d_aa_r
AKB0	M	3	aa	hh_aa_r
AKB0	M	3	aa	n_aa_tcl
AKB0	M	3	aa	ux_aa_r
AKB0	M	3	aa	hh_aa_dx
AKB0	M	3	b	n_bcl_b
AKB0	M	3	b	bcl_b_ae
AKB0	M	3	b	m_bcl_b
AKB0	M	3	b	bcl_b_ix
AKB0	M	3	b	ix_bcl_b
AKB0	M	3	b	bcl_b_ae
AKB0	M	3	b	el_bcl_b
AKB0	M	3	b	bcl_b_ay
AKB0	M	3	d	ae_dcl_d
AKB0	M	3	d	dcl_d_y
AKB0	M	3	d	axr_dcl_d
AKB0	M	3	d	dcl_d_aa
AKB0	M	3	d	ux_dx_ih
AKB0	M	3	d	ao_dx_axr
AKB0	M	3	d	h#_d_ow
AKB0	M	3	d	ih_dx_ix
AKB0	M	3	d	k_dh_ae
AKB0	M	3	d	ae_dx_er
AKB0	M	3	d	er_dcl_d
AKB0	M	3	d	dcl_d_s
AKB0	M	3	d	er_dx_ah
AKB0	M	3	d	l_dcl_l
AKB0	M	3	d	er_dcl_en
AKB0	M	3	d	eh_dx_iy
AKB0	M	3	d	pcl_dh_ax
AKB0	M	3	d	n_dcl_d
AKB0	M	3	d	dcl_d_h#
AKB0	M	3	d	n_dcl_jh
AKB0	M	3	d	ih_dx_ih
AKB0	M	3	d	r_dcl_n
AKB0	M	3	d	ey_dcl_jh
AKB0	M	3	d	h#_dh_ix
AKB0	M	3	d	r_dx_ih
AKB0	M	3	d	jh_dcl_d
AKB0	M	3	d	dcl_d_ax
AKB0	M	3	d	aa_dx_ix
AKB0	M	3	d	ch_dcl_d
AKB0	M	3	d	dcl_d_ux
AKB0	M	3	d	ux_dh_ih
AKB0	M	3	g	ih_ng_gcl
AKB0	M	3	g	ng_gcl_g
AKB0	M	3	g	gcl_g_r
AKB0	M	3	g	ae_gcl_g
AKB0	M	3	g	gcl_g_l
AKB0	M	3	g	ey_gcl_m
AKB0	M	3	g	ix_gcl_g
AKB0	M	3	g	gcl_g_y
AKB0	M	3	g	ih_ng_r
AKB0	M	3	g	ih_ng_eh
AKB0	M	3	g	ah_ng_r
AKB0	M	3	g	ix_ng_h#
AKB0	M	3	g	ix_gcl_g
AKB0	M	3	g	gcl_g_r
AKB0	M	3	p	sh_epi_w
AKB0	M	3	p	iy_pcl_p
AKB0	M	3	p	pcl_p_ax
AKB0	M	3	p	m_epi_s
AKB0	M	3	p	m_pau_w
AKB0	M	3	p	s_pcl_p
AKB0	M	3	p	pcl_p_iy
AKB0	M	3	p	eh_pcl_p
AKB0	M	3	p	pcl_p_ix
AKB0	M	3	p	s_pcl_dh
AKB0	M	3	p	n_pcl_p
AKB0	M	3	p	pcl_p_iy
AKB0	M	3	p	s_pcl_p
AKB0	M	3	p	pcl_p_r
AKB0	M	3	p	s_epi_m
AKB0	M	3	p	s_epi_w
AKB0	M	3	p	ix_pcl_p
AKB0	M	3	p	pcl_p_ih
AKB0	M	3	t	h#_t_ax-h
AKB0	M	3	t	eh_tcl_t
AKB0	M	3	t	tcl_t_hv
AKB0	M	3	t	iy_tcl_t
AKB0	M	3	t	tcl_t_r
AKB0	M	3	t	z_tcl_t
AKB0	M	3	t	tcl_t_ix
AKB0	M	3	t	ix_tcl_t
AKB0	M	3	t	tcl_t_ih
AKB0	M	3	t	f_tcl_t
AKB0	M	3	t	tcl_t_hh
AKB0	M	3	t	aa_tcl_t
AKB0	M	3	t	tcl_t_ax-h
AKB0	M	3	t	s_tcl_t
AKB0	M	3	t	tcl_t_y
AKB0	M	3	t	ix_tcl_t
AKB0	M	3	t	tcl_t_ux
AKB0	M	3	t	s_tcl_ch
AKB0	M	3	t	ih_tcl_ch
AKB0	M	3	t	ch_tcl_ch
AKB0	M	3	t	er_tcl_ch
AKB0	M	3	t	ih_th_s
AKB0	M	3	k	r_kcl_k
AKB0	M	3	k	kcl_k_s
AKB0	M	3	k	s_kcl_m
AKB0	M	3	k	ix_kcl_k
AKB0	M	3	k	kcl_k_eh
AKB0	M	3	k	ay_kcl_k
AKB0	M	3	k	kcl_k_dh
AKB0	M	3	k	ax-h_kcl_k
AKB0	M	3	k	kcl_k_iy
AKB0	M	3	k	s_kcl_k
AKB0	M	3	k	kcl_k_ae
AKB0	M	3	k	z_kcl_k
AKB0	M	3	k	kcl_k_ao
AKB0	M	3	k	ae_kcl_m
AKB0	M	3	k	h#_k_l
AKB0	M	3	k	s_kcl_k
AKB0	M	3	k	kcl_k_r
AKB0	M	3	k	ix_kcl_k
AKB0	M	3	k	kcl_k_s
AKB0	M	3	s	h#_sh_iy
AKB0	M	3	s	k_s_ux
AKB0	M	3	s	iy_s_ix
AKB0	M	3	s	ao_sh_epi
AKB0	M	3	s	ae_s_kcl
AKB0	M	3	s	epi_s_kcl
AKB0	M	3	s	d_s_ah
AKB0	M	3	s	ux_s_hh
AKB0	M	3	s	ah_s_el
AKB0	M	3	s	ah_s_el
AKB0	M	3	s	n_s_pcl
AKB0	M	3	s	iy_s_iy
AKB0	M	3	s	ih_sh_ix
AKB0	M	3	s	ae_s_pcl
AKB0	M	3	s	ax_s_kcl
AKB0	M	3	s	ax-h_s_pcl
AKB0	M	3	s	ux_s_h#
AKB0	M	3	s	ow_s_tcl
AKB0	M	3	s	ih_s_ix
AKB0	M	3	s	k_s_tcl
AKB0	M	3	s	f_s_h#
AKB0	M	3	s	ih_s_epi
AKB0	M	3	s	th_s_epi
AKB0	M	3	s	er_sh_ix
AKB0	M	3	z	ah_z_kcl
AKB0	M	3	z	el_z_eh
AKB0	M	3	z	el_z_f
AKB0	M	3	z	iy_z_ih
AKB0	M	3	z	ay_z_tcl
AKB0	M	3	z	ih_z_hh
AKB0	M	3	z	ay_z_er
AKB0	M	3	sh	h#_sh_iy
AKB0	M	3	sh	ao_sh_epi
AKB0	M	3	sh	ih_sh_ix
AKB0	M	3	sh	er_sh_ix
AKB0	M	3	dh	k_dh_ae
AKB0	M	3	dh	pcl_dh_ax
AKB0	M	3	dh	h#_dh_ix
AKB0	M	3	dh	ux_dh_ih
AKB0	M	3	f	z_f_iy
AKB0	M	3	f	ae_f_el
AKB0	M	3	f	eh_f_tcl
AKB0	M	3	f	ae_f_s
AKB0	M	3	v	iy_hv_ae
AKB0	M	3	v	t_hv_er
AKB0	M	3	v	ih_v_ae
AKB0	M	3	v	iy_v_ih
AKB0	M	3	v	eh_v_r
AKB0	M	3	jh	dcl_jh_ih
AKB0	M	3	jh	dcl_jh_ux
AKB0	M	3	jh	n_jh_dcl
AKB0	M	3	ch	tcl_ch_ey
AKB0	M	3	ch	tcl_ch_tcl
AKB0	M	3	ch	tcl_ch_er
AKB0	M	3	ch	tcl_ch_dcl
